Product url,Product name,Product price,Rating,Number of reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTE1MTIxMzU4NTU3ODg6MTY4NTAzNDg1MDpzcF9hdGZfbmV4dDoyMDExMDE4MTUxMTE5ODo6MDo6&url=%2FMOKOBARA-TSBPK12CND22001-Backpack-Modern-Love%2Fdp%2FB08T1769X9%2Fref%3Dsr_1_49_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685034850%26sprefix%3Dba%252Caps%252C283%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)","4,499",4.3 out of 5 stars,168
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTE1MTIxMzU4NTU3ODg6MTY4NTAzNDg1MDpzcF9hdGZfbmV4dDoyMDExMDA4MjI0MTI5ODo6MDo6&url=%2FRed-Lemon-Ironlook-Briefcase-Anti-Theft%2Fdp%2FB09ZYMT7V1%2Fref%3Dsr_1_50_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685034850%26sprefix%3Dba%252Caps%252C283%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Red Lemon Bange Hard Ironlook Briefcase Laptop Bag Anti-Theft Hard Shell Unisex Laptop Backpack with USB Charging Backpack for Men and Women,"4,990",4.4 out of 5 stars,80
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTV3795/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1685034850&sprefix=ba%2Caps%2C283&sr=8-51,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Black),599,3.8 out of 5 stars,141
https://www.amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1685034850&sprefix=ba%2Caps%2C283&sr=8-52,AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE_0521_Black),376,4.3 out of 5 stars,"9,121"
https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_53?crid=2M096C61O4MLT&keywords=bags&qid=1685034850&sprefix=ba%2Caps%2C283&sr=8-53,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",398,4.1 out of 5 stars,"8,997"
https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_54?crid=2M096C61O4MLT&keywords=bags&qid=1685034850&sprefix=ba%2Caps%2C283&sr=8-54,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"1,199",4.0 out of 5 stars,"7,624"
https://www.amazon.in/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y/ref=sr_1_55?crid=2M096C61O4MLT&keywords=bags&qid=1685034850&sprefix=ba%2Caps%2C283&sr=8-55,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,409,4.2 out of 5 stars,"3,290"
https://www.amazon.in/Lunars-Comet-Resistant-Casual-Backpack/dp/B07WNFN1XS/ref=sr_1_56?crid=2M096C61O4MLT&keywords=bags&qid=1685034850&sprefix=ba%2Caps%2C283&sr=8-56,Lunar's Comet 35L Water Resistant Travel Bagpack/College Backpack/School Bag/Office Bag/Business Backpack/Daypack for Men and Women with 1 Year Warranty,799,4.0 out of 5 stars,"13,288"
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_57?crid=2M096C61O4MLT&keywords=bags&qid=1685034850&sprefix=ba%2Caps%2C283&sr=8-57,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,749,3.9 out of 5 stars,"2,764"
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07NJRPJ6Q/ref=sr_1_58?crid=2M096C61O4MLT&keywords=bags&qid=1685034850&sprefix=ba%2Caps%2C283&sr=8-58,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Black),497,4.3 out of 5 stars,"12,760"
